n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mean_icir,std_score
500,5,0.05,0.9,0.7,5.0,0.11313167353833739,0.24413872546324847
500,4,0.1,0.7,1.0,10.0,0.11286356085529854,0.27480892674731
300,3,0.1,0.9,0.7,5.0,0.11272378105402946,0.2587399912830176
200,4,0.03,0.9,0.7,5.0,0.11135399469606909,0.29840059373065186
500,3,0.05,0.7,1.0,20.0,0.11073572353231952,0.29130535009205544
300,3,0.05,0.7,1.0,10.0,0.11057654016790655,0.2964818905809245
300,3,0.1,0.7,1.0,5.0,0.11038783845794917,0.2985457384775314
300,4,0.05,0.7,0.7,10.0,0.10962929781285906,0.2865266232706624
500,4,0.1,0.9,0.7,5.0,0.10934042191943724,0.2808160421339249
500,4,0.03,0.9,0.7,5.0,0.10899183024651318,0.2831835014576779
200,4,0.05,0.7,0.7,10.0,0.10884693701348383,0.27358736214606333
200,5,0.05,0.9,0.7,5.0,0.10880156221720955,0.2575542065307628
300,3,0.05,0.9,1.0,10.0,0.10861097643911136,0.2131606052805703
300,4,0.03,0.7,0.7,10.0,0.1075549737254657,0.29754136807904463
500,3,0.1,0.9,0.7,5.0,0.10736151766682805,0.2548738784226662
200,3,0.1,0.9,0.7,5.0,0.10733806469194972,0.24543840706837475
300,5,0.03,0.9,0.7,10.0,0.10652161465482048,0.22399283300439657
500,3,0.1,0.7,1.0,5.0,0.10626169001095585,0.29347685143449986
300,4,0.05,0.7,1.0,10.0,0.10581696846904602,0.3097625203937485
300,4,0.05,0.9,0.7,5.0,0.10548695842550691,0.2733043653359513
200,4,0.1,0.7,1.0,10.0,0.10536107975164286,0.2873849513889339
200,3,0.05,0.7,0.7,5.0,0.1053337135585338,0.2230361007913405
300,4,0.1,0.7,1.0,10.0,0.1051565262248341,0.2823694178542049
300,5,0.03,0.7,0.7,20.0,0.10468913333328361,0.26428375171424395
500,4,0.1,0.7,1.0,20.0,0.10465127488981815,0.3318658876019998
200,5,0.1,0.7,1.0,10.0,0.10452170455891327,0.2714972061294696
500,4,0.05,0.7,1.0,10.0,0.10433621938638887,0.3062658535623988
300,5,0.05,0.7,0.7,20.0,0.10390354733220061,0.24704157177332436
200,5,0.03,0.7,0.7,20.0,0.1038303440201099,0.2622930102485508
200,3,0.05,0.9,1.0,10.0,0.10359236524008805,0.20722567904476658
200,5,0.05,0.7,0.7,20.0,0.10352648970262543,0.24359564793279606
500,5,0.03,0.9,0.7,10.0,0.10345722930219295,0.2208227472357984
500,3,0.05,0.7,1.0,10.0,0.10300406749597413,0.2975792403328578
200,5,0.03,0.9,0.7,10.0,0.10278666470188269,0.2219126838005175
200,3,0.03,0.7,1.0,10.0,0.10270624318947084,0.2541401110672161
200,5,0.03,0.7,1.0,20.0,0.10238556775684647,0.25502871366006125
500,3,0.1,0.9,0.7,20.0,0.10236720740012133,0.27734915179232456
300,5,0.03,0.7,1.0,20.0,0.10217808077246082,0.2513005411178459
500,5,0.03,0.7,0.7,20.0,0.10175813783398217,0.2586547840774691
200,5,0.05,0.7,1.0,5.0,0.10162625493597632,0.2276291765969758
500,4,0.1,0.7,0.7,5.0,0.10159713043163006,0.24279700231218815
200,4,0.1,0.9,0.7,20.0,0.10143075930175005,0.258472013603309
300,5,0.1,0.7,0.7,5.0,0.10119679115673698,0.21729204802085247
300,4,0.1,0.9,0.7,20.0,0.10098186469114719,0.24903454900301658
300,3,0.05,0.7,0.7,10.0,0.10095543615168293,0.2868769316704619
500,4,0.03,0.7,0.7,10.0,0.10011845128281929,0.2864613106283247
500,3,0.05,0.7,0.7,10.0,0.10003339663126298,0.28695212440021023
200,4,0.05,0.7,1.0,10.0,0.09998457252041296,0.3128390581825616
500,5,0.05,0.7,0.7,20.0,0.09984876844341353,0.2381767454436775
500,4,0.05,0.9,0.7,5.0,0.09974350431416361,0.26947279221931303
500,4,0.05,0.9,0.7,20.0,0.09959136271285834,0.30774404157844465
200,5,0.1,0.7,0.7,5.0,0.09956045040512297,0.22061884250151034
300,3,0.1,0.9,0.7,20.0,0.09933474511872689,0.29085894094841436
300,5,0.05,0.7,1.0,5.0,0.098448503363716,0.23371056782844501
300,3,0.03,0.7,1.0,10.0,0.09837943779158717,0.2532335000143039
500,5,0.03,0.7,1.0,20.0,0.09815101033469624,0.24393902539840312
500,3,0.1,0.9,1.0,5.0,0.09807104844041128,0.2717945467021862
500,4,0.03,0.9,0.7,20.0,0.09788113254201374,0.23779370963926164
500,4,0.05,0.7,0.7,10.0,0.09776661719701513,0.2775643230570049
200,4,0.05,0.9,0.7,5.0,0.09771581178709383,0.28061653917738655
300,4,0.03,0.9,0.7,20.0,0.09761744536269246,0.2452818221351861
500,4,0.05,0.7,1.0,5.0,0.09745699843676113,0.27789442733410463
200,3,0.1,0.9,1.0,5.0,0.09702898516595432,0.27141523642529797
200,4,0.05,0.7,1.0,5.0,0.09690591687581887,0.28642140804761806
500,3,0.03,0.9,0.7,10.0,0.09517514932762508,0.21989515981214075
300,3,0.1,0.9,1.0,5.0,0.09510272690140475,0.27147173808651487
500,4,0.1,0.9,0.7,20.0,0.09459092737966268,0.24181859176258602
200,4,0.03,0.9,0.7,20.0,0.09455123572048364,0.2546180029392038
300,3,0.03,0.9,0.7,10.0,0.09450128752787867,0.2216078709016656
500,3,0.03,0.7,1.0,10.0,0.0940527943933885,0.2650799361052749
300,4,0.1,0.7,1.0,20.0,0.09401974101040086,0.3241616131270502
200,5,0.1,0.7,1.0,20.0,0.09401075055342256,0.22995553719101672
200,5,0.05,0.9,1.0,20.0,0.09343285145482229,0.2135193343012418
300,4,0.05,0.9,0.7,20.0,0.09311820757316071,0.30932598749964796
200,4,0.05,0.9,0.7,20.0,0.0927725848162797,0.3116376692912798
200,3,0.1,0.9,0.7,20.0,0.09257782282550187,0.282099958818863
300,3,0.03,0.9,1.0,5.0,0.09230540139615788,0.269034262581568
300,4,0.05,0.7,1.0,5.0,0.09126201697321322,0.28374407413677816
500,5,0.05,0.7,1.0,5.0,0.09097082532777027,0.2308907254192779
